Symbol,Acquirers_Multiple,ROIC,Revenue_Growth,Z_Score,RSI,Beta
ADBE,35.057655376842106,0.22331172974243593,0.14682557452171796,2.3046240639376743,41.64789810068333,1.298
ABNB,41.847183346508565,0.0735286994429644,0.4318527613777945,0.010385081133446356,18.519884693350505,1.189
GOOGL,22.78664476338486,0.2094798107318237,0.1897510319217537,1.4262527585041451,30.67983688743196,1.046
GOOG,23.05123160101076,0.2094798107318237,0.1897510319217537,1.4262527585041451,30.32144621251298,1.046
AMZN,49.0859376064257,0.06981475938422367,0.141866608981704,0.5317318804063245,33.28831717352273,1.155
AMD,542.4849039002494,0.0059070486852765705,0.32440228174148333,0.03440377108344995,37.11149046158097,1.681
AEP,25.738746310349445,0.03862583260932522,0.08361387696477496,0.31281711555169417,64.5142248909037,0.524
AMGN,28.847591168291757,0.08128332338349424,0.035023948514048,-0.11433909051608787,44.61663610761102,0.58
ADI,28.055234515999963,0.08164493531419682,0.29984597196709317,0.5665831654147422,40.755152770036666,1.083
ANSS,42.73612283612959,0.08550398579792773,0.10524159414162959,1.292241681033747,46.16030705740219,1.108
AAPL,28.719761450625978,0.32418182385424144,0.1176828346030312,1.0689502897190166,35.30981804369462,1.244
AMAT,20.409146799059315,0.24908067297992126,0.15517686278803566,2.81410394090273,41.2345491687807,1.551
ARM,1041.9114229059828,0.014759682099154788,0.16837965314511316,0.5345654093604137,30.022214384571527,
ASML,38.07527593466264,0.22629794156291058,0.25390606070023614,1.1805265594694363,48.148987265407385,1.076
AZN,17.601754606741572,0.0862548086907505,0.19840484402920766,0.3054361692659144,62.72285381482205,0.148
TEAM,-101.50303079178036,-0.08406149929178074,0.2985698733973472,-1.1330490878618011,22.16150444122681,0.746
ADSK,,,,,47.36929287694134,1.485
ADP,21.688849555930297,0.09162900297446595,0.08568578808011473,0.9107170909465496,74.08651612303689,0.791
BKR,14.669133575757575,0.07145757206658547,0.07198581884212119,-0.09837867099742861,47.57468944756785,1.398
BIIB,18.827901182895527,0.06821060317081892,-0.09894564335225897,1.1444030128740017,27.79879774549974,-0.038
BKNG,19.677852276263923,0.23970914468819324,0.4649287723959301,2.621703228986936,24.869618493679866,1.385
AVGO,5.426912425992341,0.2257860858346715,0.14457579009761012,0.7966278255857043,43.26018692151723,1.188
CDNS,116.66571589826958,0.2226369174940043,0.15090532009955182,1.9536715024329345,45.24992507585667,1.033
CDW,20.160821959664464,0.1265299670294928,0.049960056808575626,0.256783794769884,30.720796716888586,1.034
CHTR,12.2139156552055,0.08496327950378076,0.04322209450980563,0.16377001623718518,66.61082738341719,1.04
CTAS,37.68000102869866,0.22561612910367826,0.1048088069391524,2.3658042144368245,45.531489776255796,1.305
CSCO,12.744800069913893,0.15279032321407532,0.04954556112918418,0.5267368338373326,40.60531017384051,0.844
CCEP,18.34656746141215,0.08327066384084228,0.19945044363540232,0.6687017160046489,47.88731763753523,0.738
CTSH,12.19220722138451,0.15787480387383002,0.051382227521475476,1.5284748146945841,47.832373686285,1.054
CMCSA,10.516318447561446,0.08803637311138887,0.05489260646161309,0.5701488986484701,45.83806726739058,1.003
CEG,27.511687651891013,0.048445565231096575,0.12281661580241754,0.18086015997478228,48.84899860007802,0.736
CPRT,30.437956717784374,0.220628628089047,0.20608473795265114,1.8063390126180656,40.85779840411402,1.275
CSGP,93.81564440665959,0.03164904649259504,0.13954998272283037,0.45041985717008415,48.27848484017108,0.813
COST,45.5936310456002,0.11760442937066991,0.13260984690123467,0.7842073223758588,50.81036205740368,0.769
CRWD,-27898.186554385964,-0.000300157074679682,0.517470863448231,-0.2240200736626084,25.404587909659114,1.095
CSX,15.17224897336213,0.13101301641199772,0.11466773573303324,0.7555366911903414,46.95291700283038,1.197
DDOG,-1086.917859909156,-0.008501876998184993,0.5221730409424246,-0.08272419813458697,43.94050001655733,1.108
DXCM,47.056327548937595,0.09541064729826802,0.2342129705143554,0.5431191635405859,22.010029879495107,1.159
FANG,9.062666897184021,0.15796007034240198,0.44070980091223255,0.6414227095617393,41.29961227504017,1.889
DLTR,160.97935316239315,0.008500011351510886,0.06257339551848706,0.48094989443094877,19.18392645383898,0.885
DASH,-81.51455279029463,-0.05323369314512409,0.440971324478894,-0.8413783559368946,73.82532513556976,1.671
EA,24.216249356962024,0.11773472429210134,0.1034054925249106,1.1794932935916542,63.45698519405257,0.788
EXC,20.638101721405434,0.039519035707955015,-0.1303904707470418,0.20610265298485414,63.27683128769347,0.588
FAST,24.95760562046183,0.3425351229021488,0.09165099653042308,2.183416612516525,44.61584513578402,1.0
FTNT,40.52711921714517,0.17034261389466723,0.26924080665477,0.2030707131934591,72.86994982562733,0.979
GEHC,18.665066605338808,0.07502927220065324,0.04437763000321171,0.3047975596228508,55.99488325043025,
GILD,12.912604200681045,0.14181086519114688,0.03174896491722001,0.835389939637827,59.882578008434635,0.199
GFS,19.911079253333334,0.06650410108623366,0.15073916532957599,-0.7892595876745733,22.769388089887727,1.56
HON,19.805440745565264,0.12277935798455912,0.03952588291669512,1.4969329540837055,26.456590246535214,1.032
IDXX,36.90994302214509,0.33655007400477005,0.10591160890866025,3.0193706296924008,59.96194688587201,1.32
ILMN,-99.10495250450451,-0.02195628523390367,0.11616691354364539,-0.07508653941252101,70.0229582485171,1.149
INTC,3760.523858580645,0.00016181905497671893,-0.11361299273063152,0.5059230994090994,15.434359830740377,1.047
INTU,,0.11306695464362851,0.23224543304408263,1.1324370050395969,46.09515147613497,1.232
ISRG,90.60263904007245,0.11441893598419843,0.17797020842905664,0.8076054787423501,54.0882183802993,1.39
KDP,19.76727035190983,0.06126990216765778,0.08437706304762815,0.32462689430270475,69.5213762103481,0.618
KLAC,28.45193690540762,0.235569925965263,0.12351949532510442,0.8805440816464581,48.84724177392827,1.263
KHC,11.916940031654121,0.05735064590044167,0.005758891673051769,0.21044178040491923,68.96549814284676,0.518
