Symbol,Acquirers_Multiple,ROIC,Revenue_Growth,Z_Score,RSI,Beta,Value_Rank,Quality_Rank,Growth_Rank,Financial_Health_Rank,Sentiment_Rank,Composite_Score,Final_Score
PDD,8.9915758803908,0.1686367474060133,0.608621759873474,0.8586346949931813,57.18408895001404,0.615,0.8686868686868687,0.7,0.99,0.56,0.7227722772277227,0.7898832883288328,0.5469941771677167
AZN,17.601754606741572,0.0862548086907505,0.1984048440292076,0.3054361692659144,62.72285381482205,0.148,0.7272727272727273,0.43,0.69,0.3,0.48514851485148514,0.5571966696669668,0.5159641161116113
REGN,26.70875697250307,0.1279677873773435,0.155731109665383,1.5759874486853165,68.44363710087632,0.128,0.3939393939393939,0.55,0.56,0.86,0.3564356435643564,0.5323253825382539,0.4982565580558056
GILD,12.912604200681043,0.1418108651911468,0.03174896491722,0.835389939637827,59.88257800843464,0.199,0.7777777777777778,0.59,0.06,0.55,0.5841584158415841,0.5337491749174919,0.4806411320132014
VRTX,26.791225202553687,0.1895055916797916,0.1672495748540201,1.2500598322936003,33.81365788737692,0.392,0.3838383838383838,0.73,0.62,0.75,0.40594059405940597,0.5747455745574557,0.4620954419441944
BIIB,18.827901182895527,0.0682106031708189,-0.0989456433522589,1.1444030128740017,27.79879774549974,-0.038,0.6868686868686869,0.3,0.04,0.69,0.18811881188118812,0.4113724872487249,0.4191885645064506
PEP,21.30842416789282,0.1284939549231305,0.091342775057388,1.399690531867257,56.61536810546331,0.526,0.5353535353535354,0.56,0.25,0.8,0.7524752475247525,0.5458535853585359,0.40229409240924097
CCEP,18.34656746141215,0.0832706638408422,0.1994504436354023,0.6687017160046489,47.88731763753523,0.738,0.7171717171717171,0.39,0.7,0.5,0.9207920792079208,0.6197307230723071,0.3910500862586258
PCAR,9.343268473025695,0.1456615568521975,0.2332401922081823,1.021853642763709,26.64738268365357,0.916,0.8484848484848485,0.61,0.75,0.63,0.15841584158415842,0.6673870387038704,0.3617237749774978
ODFL,25.573366324672865,0.2976335322971348,0.1347092703151033,1.9990881092839352,50.49597496907117,1.003,0.41414141414141414,0.95,0.44,0.9,0.9900990099009901,0.6837523252325232,0.3408505341284128
MDLZ,20.095323477455,0.0785953411494446,0.1065593718785054,0.930743371013153,70.09445079560265,0.537,0.5959595959595959,0.36,0.33,0.6,0.25742574257425743,0.4505304530453046,0.32956302640264035
FAST,24.95760562046183,0.3425351229021488,0.091650996530423,2.183416612516525,44.61584513578402,1.0,0.42424242424242425,0.99,0.26,0.91,0.7821782178217822,0.6414905490549054,0.3207452745274527
TXN,24.64803953839858,0.2266291579077531,0.0660322144346876,3.010649808334364,46.57239962973807,0.973,0.43434343434343436,0.88,0.19,0.99,0.8613861386138614,0.6229416441644164,0.3198805342784279
VRSK,35.651269841830874,0.2592015757770092,0.0571830340377994,2.9129589336020705,38.90805424854692,0.845,0.2727272727272727,0.93,0.16,0.98,0.5346534653465347,0.5467835283528354,0.31576748762376244
CSCO,12.744800069913891,0.1527903232140753,0.0495455611291841,0.5267368338373326,40.60531017384051,0.844,0.7878787878787878,0.64,0.12,0.4,0.6237623762376238,0.5427398739873988,0.3137036471647165
CTSH,12.19220722138451,0.15787480387383,0.0513822275214754,1.528474814694584,47.832373686285,1.054,0.8181818181818182,0.66,0.14,0.85,0.9108910891089109,0.6570436543654365,0.31078164851485146
SBUX,19.58672677751731,0.186884243772393,0.1522212661724755,0.2717376169533545,40.36144804842372,0.935,0.6565656565656566,0.72,0.52,0.25,0.594059405940594,0.5778756375637564,0.30771877700270023
ZS,-109.9294443999066,-0.0629165896455328,0.5535180205162553,-0.6306817000834462,29.30909636633088,0.842,0.9696969696969697,0.06,0.97,0.05,0.21782178217821782,0.5291912691269127,0.30640174482448246
GOOGL,22.78664476338486,0.2094798107318237,0.1897510319217537,1.4262527585041451,30.67983688743196,1.046,0.5050505050505051,0.795,0.675,0.815,0.31683168316831684,0.6391983198319833,0.304897598559856
GOOG,23.05123160101076,0.2094798107318237,0.1897510319217537,1.4262527585041451,30.32144621251298,1.046,0.48484848484848486,0.795,0.675,0.815,0.2871287128712871,0.6301674167416742,0.30058985778577857
ASML,38.07527593466264,0.2262979415629105,0.2539060607002361,1.1805265594694363,48.148987265407385,1.076,0.23232323232323232,0.87,0.77,0.73,0.9306930693069307,0.6437662766276627,0.2974200198019802
TEAM,-101.50303079178036,-0.0840614992917807,0.2985698733973472,-1.1330490878618011,22.16150444122681,0.746,0.9595959595959596,0.04,0.82,0.01,0.07920792079207921,0.4712995799579958,0.2955048366336634
LULU,13.465491646569353,0.3112232603175914,0.2976815357559004,1.800944325396954,30.82594793920444,1.256,0.7575757575757576,0.96,0.81,0.87,0.33663366336633666,0.793436093609361,0.2951582268226823
AVGO,5.426912425992341,0.2257860858346715,0.1445757900976101,0.7966278255857043,43.26018692151723,1.188,0.8787878787878788,0.86,0.47,0.53,0.7425742574257426,0.7263937893789378,0.2949158784878488
PAYX,20.31722822685249,0.2093883329641436,0.0917004540624681,0.9893702266182548,58.478125935714566,0.991,0.5757575757575758,0.78,0.27,0.62,0.693069306930693,0.584034203420342,0.2946452556255625
MSFT,27.55595934330595,0.2136683048170211,0.1340055861296771,1.1783953546039054,29.51192982124705,0.894,0.35353535353535354,0.81,0.43,0.71,0.22772277227722773,0.5238328832883289,0.2896795844584458
KHC,11.91694003165412,0.0573506459004416,0.0057588916730517,0.2104417804049192,68.96549814284676,0.518,0.8282828282828283,0.25,0.05,0.23,0.3465346534653465,0.39013831383138314,0.2890924905490549
EA,24.216249356962024,0.1177347242921013,0.1034054925249106,1.1794932935916542,63.45698519405257,0.788,0.4444444444444444,0.52,0.28,0.72,0.44554455445544555,0.4718877887788778,0.28596399999999994
ROST,20.635867750187096,0.1613738049129555,0.1759203124774579,0.8799528521076307,38.95767688172297,1.086,0.5555555555555556,0.69,0.64,0.57,0.5445544554455446,0.6071221122112211,0.277454805280528
ORLY,22.86178846438713,0.2296819107914333,0.1086364851321901,0.4419302392886323,70.44644810351025,0.924,0.494949494949495,0.89,0.34,0.34,0.2376237623762376,0.5137472247224723,0.2763960069006901
COST,45.5936310456002,0.1176044293706699,0.1326098469012346,0.7842073223758588,50.81036205740368,0.769,0.1717171717171717,0.51,0.42,0.52,0.9801980198019802,0.4390349534953496,0.27022601387638767
CMCSA,10.516318447561446,0.0880363731113888,0.054892606461613,0.5701488986484701,45.83806726739058,1.003,0.8383838383838383,0.44,0.15,0.45,0.8217821782178217,0.5411933693369336,0.2697848946144614
